;Base;;;
;Controls;Socioec;Health;Obs.
Pre-Twins 
;;;;
All Families 
Fertility;-0.016;-0.029;-0.034*;403,124
         ;(0.024);(0.021);(0.020);
;;;;
All Families (bord dummies) 
Fertility;-0.016;-0.029;-0.034*;403,124
         ;(0.024);(0.020);(0.020);
;;;;
Low-Income Countries 
Fertility;-0.012;-0.014;-0.023;261,555
         ;(0.028);(0.025);(0.024);
;;;;
Middle-Income Countries 
Fertility;-0.023;-0.049;-0.050;141,569
         ;(0.043);(0.036);(0.036);
;;;;
Desired-Threshold 
Fertility;0.003;-0.010;-0.014;403,124
         ;(0.026);(0.023);(0.023);
Fertility*desire;-0.014*;-0.014*;-0.015**;
         ;(0.008);(0.007);(0.007);
Twins and Pre-Twins 
;;;;
All Families 
Fertility;-0.018;-0.038**;-0.045**;546,079
         ;(0.020);(0.018);(0.018);
;;;;
All Families (bord dummies) 
Fertility;-0.020;-0.033*;-0.039**;546,079
         ;(0.022);(0.019);(0.019);
First Stage (Pre-Twins) 
;;;;
All Families 
Twins;0.841***;0.860***;0.863***;403,124
         ;(0.027);(0.026);(0.026);
NOTES: Four-plus refers to all first- to third-born children in families with four or more children.  Each cell presents the coefficient of a 2SLS regression where fertility is instrumented by twinning at birth order four.  Base controls include child age, mother's age, and mother's age at birth fixed effects plus country and year-of-birth FEs.  The sample is made up of all children aged between 6-18 years from families in the DHS who fulfill four-plus requirements. Birth order dummies are included only if explicitly stated.  First-stage results in the final panel correspond to the second stage in row 1.  Full first stage results for each row are available in table 15. Standard errors are clustered by mother. 
* p<0.1, ** p<0.05, *** p<0.01
